"filename", "language", "Python", "TXT", "comment", "blank", "total"
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/bayesian_decision.py", "Python", 92, 0, 18, 31, 141
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/edge_following.py", "Python", 38, 0, 15, 10, 63
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/edge_pruning.py", "Python", 140, 0, 5, 26, 171
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/front_zone_ai.py", "Python", 77, 0, 7, 23, 107
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/get_date.py", "Python", 37, 0, 1, 3, 41
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/gradient_calculation.py", "Python", 20, 0, 5, 10, 35
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/gradient_front_zone.py", "Python", 51, 0, 6, 17, 74
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/length_width_strength_calculation.py", "Python", 55, 0, 2, 18, 75
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/main.py", "Python", 112, 0, 10, 35, 157
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/merge_by_union.py", "Python", 358, 0, 14, 92, 464
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/plot_save_region.py", "Python", 207, 0, 30, 68, 305
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/predictParam.txt", "TXT", 0, 10, 0, 0, 10
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/process_by_region.py", "Python", 63, 0, 7, 17, 87
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/process_by_region_ai.py", "Python", 77, 0, 6, 19, 102
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/remove_lines_ai.py", "Python", 25, 0, 1, 3, 29
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/threshold.py", "Python", 18, 0, 6, 7, 31
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/txt_func.py", "Python", 98, 0, 11, 23, 132
"/Users/wangyishuo/Desktop/锋面识别项目/blue_sea_sky_v5/zone2line.py", "Python", 29, 0, 3, 11, 43
"Total", "-", 1497, 10, 147, 413, 2067